ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
7958895,8.15E-37,7.25E-39,-24.930435,78.198262,3.10652639,OAS3,2'-5'-oligoadenylate synthetase 3
8123609,9.75E-41,5.35E-43,-28.545332,87.728783,3.09260385,SERPINB9,serpin family B member 9
8052654,9.18E-46,2.72E-48,-33.801876,99.902837,3.08938294,PELI1,pellino E3 ubiquitin protein ligase 1
7971296,8.21E-42,4.23E-44,-29.578083,90.266216,3.02157529,EPSTI1,epithelial stromal interaction 1 (breast)
7958019,1.44E-34,1.74E-36,-23.018097,72.700632,3.00195319,DRAM1,DNA damage regulated autophagy modulator 1
7926821,4.35E-60,1.29E-63,-54.233582,134.767437,2.99944372,MASTL,microtubule associated serine/threonine kinase like
8130556,1.87E-40,1.09E-42,-28.259116,87.011785,2.99875916,SOD2,"superoxide dismutase 2, mitochondrial"
7983478,6.49E-28,1.88E-29,-17.983702,56.434141,2.99470396,C15orf48,chromosome 15 open reading frame 48
7959251,3.77E-39,2.60E-41,-27.021586,83.839852,2.95420919,P2RX7,purinergic receptor P2X 7
8103563,1.64E-39,1.10E-41,-27.354952,84.706014,2.92715399,DDX60,DEXD/H-box helicase 60
8081386,1.08E-42,4.93E-45,-30.477199,92.414198,2.92260386,NFKBIZ,NFKB inhibitor zeta
8056408,1.15E-40,6.44E-43,-28.470795,87.542648,2.91591472,GALNT3,polypeptide N-acetylgalactosaminyltransferase 3
8163629,1.18E-23,5.70E-25,-15.175314,46.066408,2.86097744,TNFSF8,tumor necrosis factor superfamily member 8
8077786,3.81E-34,4.99E-36,-22.664058,71.64471,2.79922368,IRAK2,interleukin 1 receptor associated kinase 2
7896817,1.31E-45,4.06E-48,-33.616793,99.503556,2.79585987,ISG15,ISG15 ubiquitin-like modifier
8139656,4.31E-29,1.07E-30,-18.815161,59.317042,2.79235837,GRB10,growth factor receptor bound protein 10
7958884,2.37E-36,2.26E-38,-24.523512,77.056651,2.77549323,OAS1,2'-5'-oligoadenylate synthetase 1
7958913,1.79E-33,2.52E-35,-22.126299,70.016983,2.77509253,OAS2,2'-5'-oligoadenylate synthetase 2
8114010,7.49E-48,1.61E-50,-36.253283,105.012331,2.76984625,IRF1,interferon regulatory factor 1
8111153,2.18E-26,7.48E-28,-16.950611,52.735167,2.76307672,MYO10,myosin X
7960900,1.38E-28,3.70E-30,-18.45281,58.070821,2.7396051,CLEC4E,C-type lectin domain family 4 member E
8160213,2.73E-32,4.61E-34,-21.186258,67.100433,2.72628044,TTC39B,tetratricopeptide repeat domain 39B
8073088,8.05E-58,3.88E-61,-50.297349,129.18368,2.71610839,APOBEC3G,apolipoprotein B mRNA editing enzyme catalytic subunit 3G
8151056,1.53E-24,6.54E-26,-15.743148,48.242948,2.70836408,CYP7B1,cytochrome P450 family 7 subfamily B member 1
7917530,3.25E-34,4.18E-36,-22.723351,71.822413,2.69431573,GBP2,guanylate binding protein 2
7977046,9.03E-36,9.31E-38,-24.025432,75.638888,2.69429351,TNFAIP2,TNF alpha induced protein 2
8039236,2.62E-21,1.67E-22,-13.734048,40.357926,2.68898536,LILRA5,leukocyte immunoglobulin like receptor A5
8015511,6.65E-47,1.68E-49,-35.115116,102.680477,2.68635207,DHX58,DEXH-box helicase 58
8094378,3.00E-38,2.24E-40,-26.20556,81.681922,2.67913337,PI4K2B,phosphatidylinositol 4-kinase type 2 beta
8161526,1.36E-21,8.32E-23,-13.907845,41.060167,2.67381666,LOC440896,uncharacterized LOC440896
7947462,1.17E-40,6.61E-43,-28.460384,87.516616,2.6725249,ABTB2,ankyrin repeat and BTB domain containing 2
8150509,3.69E-16,4.05E-17,-10.786901,27.918664,2.66522098,PLAT,"plasminogen activator, tissue type"
8104930,4.07E-32,7.04E-34,-21.051862,66.675872,2.65149211,SLC1A3,solute carrier family 1 member 3
8133314,3.31E-31,6.63E-33,-20.349079,64.423978,2.63941202,NCF1C///NCF1B///NCF1,neutrophil cytosolic factor 1C pseudogene///neutrophil cytosolic factor 1B pseudogene///neutrophil cytosolic factor 1
7918457,5.49E-25,2.21E-26,-16.031387,49.332068,2.63619135,KCNA3,potassium voltage-gated channel subfamily A member 3
7931899,4.77E-47,1.15E-49,-35.296449,103.056576,2.62291547,IL15RA,interleukin 15 receptor subunit alpha
7940028,4.81E-40,3.05E-42,-27.853864,85.986067,2.62101565,SERPING1,serpin family G member 1
8140668,3.04E-29,7.40E-31,-18.923646,59.687134,2.61838138,SEMA3A,semaphorin 3A
7943413,8.48E-28,2.48E-29,-17.904846,56.156409,2.60915386,BIRC3,baculoviral IAP repeat containing 3
8091327,9.84E-23,5.29E-24,-14.602465,43.82899,2.58104522,PLSCR1,phospholipid scramblase 1
8057771,1.17E-22,6.32E-24,-14.557071,43.649906,2.57498924,STAT4,signal transducer and activator of transcription 4
8125993,6.13E-59,2.50E-62,-52.153853,131.870219,2.55834361,ETV7,ETS variant 7
7917503,1.17E-22,6.36E-24,-14.555507,43.643732,2.54564464,GBP3,guanylate binding protein 3
8101701,8.72E-40,5.69E-42,-27.609912,85.362572,2.5319487,PPM1K///PPM1K,"protein phosphatase, Mg2+/Mn2+ dependent 1K///protein phosphatase, Mg2+/Mn2+ dependent 1K"
8116992,5.26E-26,1.88E-27,-16.697532,51.80884,2.49706213,,
7973918,6.93E-32,1.25E-33,-20.86934,66.096177,2.49402508,FAM177A1,family with sequence similarity 177 member A1
8118345,5.28E-41,2.84E-43,-28.800619,88.363193,2.48798239,CFB,complement factor B
8163637,3.98E-20,2.87E-21,-13.037102,37.504574,2.47438329,TNC,tenascin C
8059650,2.74E-45,9.55E-48,-33.225012,98.651811,2.46437957,SP110,SP110 nuclear body protein
8170420,1.42E-27,4.25E-29,-17.752254,55.616836,2.46000433,MAMLD1,mastermind like domain containing 1
7926531,4.52E-45,1.61E-47,-32.987753,98.131619,2.45078596,ARL5B,ADP ribosylation factor like GTPase 5B
7929072,1.08E-31,2.03E-33,-20.716954,65.609441,2.44914244,IFIT5,interferon induced protein with tetratricopeptide repeats 5
8052689,2.07E-33,2.95E-35,-22.074826,69.859651,2.40550292,SPRED2,sprouty related EVH1 domain containing 2
7908388,9.13E-22,5.50E-23,-14.011284,41.476329,2.39503613,RGS1,regulator of G-protein signaling 1
8095680,9.57E-18,8.95E-19,-11.669621,31.741418,2.39365498,CXCL8,C-X-C motif chemokine ligand 8
8140967,1.91E-36,1.81E-38,-24.603777,77.283008,2.38321134,SAMD9,sterile alpha motif domain containing 9
8014391,3.60E-41,1.92E-43,-28.958362,88.752817,2.38102941,CCL3L3///CCL3L1///CCL3,C-C motif chemokine ligand 3 like 3///C-C motif chemokine ligand 3 like 1///C-C motif chemokine ligand 3
8005097,1.10E-26,3.65E-28,-17.149071,53.455978,2.37776017,HS3ST3B1,heparan sulfate-glucosamine 3-sulfotransferase 3B1
7990839,1.55E-48,3.05E-51,-37.082186,106.66859,2.3757086,STARD5,StAR related lipid transfer domain containing 5
8136388,3.81E-46,1.03E-48,-34.254831,100.871752,2.37011973,TMEM140,transmembrane protein 140
8063156,7.07E-46,2.04E-48,-33.93511,100.189047,2.36824418,CD40,CD40 molecule
8066513,4.41E-39,3.07E-41,-26.958087,83.673866,2.36429344,SDC4///ROS1,"syndecan 4///ROS proto-oncogene 1, receptor tyrosine kinase"
8073062,2.98E-40,1.82E-42,-28.056719,86.501061,2.3624946,APOBEC3B,apolipoprotein B mRNA editing enzyme catalytic subunit 3B
8066431,4.84E-19,3.91E-20,-12.408625,34.881884,2.36006313,ADA,adenosine deaminase
8106170,2.18E-28,5.98E-30,-18.313641,57.588029,2.32118185,TMEM171,transmembrane protein 171
7951385,1.59E-22,8.74E-24,-14.474628,43.323995,2.29226809,CASP5,caspase 5
8147206,3.25E-40,2.00E-42,-28.019751,86.407443,2.29004081,RIPK2,receptor interacting serine/threonine kinase 2
7967318,3.58E-19,2.86E-20,-12.483045,35.194822,2.28355419,HCAR2,hydroxycarboxylic acid receptor 2
8157463,8.74E-46,2.56E-48,-33.830508,99.964428,2.28318128,TMEM268,transmembrane protein 268
8084732,1.26E-51,1.87E-54,-40.974777,114.011863,2.28211833,RTP4,receptor transporter protein 4
8156848,3.40E-25,1.34E-26,-16.165132,49.833842,2.27211227,NR4A3,nuclear receptor subfamily 4 group A member 3
8122457,1.25E-57,6.50E-61,-49.954878,128.67724,2.26342421,STX11,syntaxin 11
8158560,1.90E-55,1.55E-58,-46.457236,123.297873,2.25966623,TOR1B,torsin family 1 member B
7921667,3.70E-26,1.29E-27,-16.800555,52.186897,2.25557915,CD48,CD48 molecule
7997712,2.98E-31,5.92E-33,-20.383722,64.536247,2.25394421,IRF8,interferon regulatory factor 8
8095697,2.81E-20,2.00E-21,-13.124734,37.866583,2.24630337,CXCL1,C-X-C motif chemokine ligand 1
8091141,3.53E-53,4.18E-56,-43.113604,117.769735,2.22201477,XRN1,5'-3' exoribonuclease 1
8112274,1.12E-29,2.59E-31,-19.234982,60.7416,2.2207403,ELOVL7,ELOVL fatty acid elongase 7
8082100,1.12E-48,2.16E-51,-37.25591,107.011371,2.21021836,PARP14,poly(ADP-ribose) polymerase family member 14
8051501,3.65E-42,1.76E-44,-29.942808,91.144242,2.20882943,EIF2AK2,eukaryotic translation initiation factor 2 alpha kinase 2
7917532,2.41E-31,4.72E-33,-20.454414,64.764933,2.19572005,GBP2,guanylate binding protein 2
7984779,2.94E-54,3.05E-57,-44.647401,120.355596,2.1884492,PML,promyelocytic leukemia
8071899,8.13E-24,3.82E-25,-15.279824,46.470088,2.18829972,SPECC1L-ADORA2A///ADORA2A,SPECC1L-ADORA2A readthrough (NMD candidate)///adenosine A2a receptor
7927599,2.24E-23,1.11E-24,-15.001975,45.393795,2.18716621,ASAH2B///ASAH2,N-acylsphingosine amidohydrolase 2B///N-acylsphingosine amidohydrolase 2
7964535,1.07E-23,5.12E-25,-15.203382,46.17496,2.17243442,CYP27B1,cytochrome P450 family 27 subfamily B member 1
8048898,9.71E-45,3.63E-47,-32.619872,97.318396,2.15742799,SP140,SP140 nuclear body protein
7967322,3.31E-19,2.64E-20,-12.502392,35.276074,2.14900575,HCAR3,hydroxycarboxylic acid receptor 3
8106743,2.06E-15,2.42E-16,-10.378216,26.126314,2.14799976,VCAN,versican
8051573,1.33E-36,1.22E-38,-24.744407,77.678206,2.14280017,CDC42EP3,CDC42 effector protein 3
8103951,6.22E-32,1.12E-33,-20.905377,66.210918,2.1425862,ACSL1,acyl-CoA synthetase long-chain family member 1
8026533,4.32E-32,7.51E-34,-21.031089,66.610077,2.14234309,HSH2D,hematopoietic SH2 domain containing
8009502,3.39E-22,1.94E-23,-14.272258,42.52034,2.13207575,KCNJ2,potassium voltage-gated channel subfamily J member 2
8179258,9.44E-31,1.98E-32,-20.012025,63.324705,2.12877452,LTA,lymphotoxin alpha
7907171,7.19E-47,1.84E-49,-35.070755,102.588199,2.12661372,BLZF1,basic leucine zipper nuclear factor 1
8120552,9.14E-32,1.68E-33,-20.776405,65.799634,2.11781071,FAM135A,family with sequence similarity 135 member A
8105067,6.93E-39,4.91E-41,-26.779347,83.204907,2.11729279,PTGER4,prostaglandin E receptor 4
8101699,1.26E-25,4.74E-27,-16.445726,50.879196,2.11369353,PPM1K,"protein phosphatase, Mg2+/Mn2+ dependent 1K"
8057959,2.57E-36,2.48E-38,-24.49143,76.966015,2.10887138,PGAP1,post-GPI attachment to proteins 1
8151711,8.10E-40,5.22E-42,-27.643149,85.447789,2.1062415,NBN,nibrin
8116983,3.05E-26,1.06E-27,-16.855042,52.386303,2.10393073,CD83,CD83 molecule
8014369,1.27E-31,2.42E-33,-20.662898,65.436178,2.10372719,CCL3,C-C motif chemokine ligand 3
7930413,3.50E-46,9.34E-49,-34.300956,100.969768,2.10081534,DUSP5,dual specificity phosphatase 5
8131944,2.94E-33,4.28E-35,-21.953477,69.487662,2.09974028,NFE2L3,"nuclear factor, erythroid 2 like 3"
7981530,1.75E-34,2.16E-36,-22.944696,72.482726,2.09635728,GPR132,G protein-coupled receptor 132
8104378,2.08E-55,1.79E-58,-46.366226,123.152618,2.09404864,PAPD7,"poly(A) RNA polymerase D7, non-canonical"
8030557,2.52E-47,5.71E-50,-35.634495,103.753024,2.09337704,ATF5,activating transcription factor 5
7949264,1.54E-29,3.64E-31,-19.133684,60.399753,2.09224515,EHD1,EH domain containing 1
7950641,1.07E-43,4.49E-46,-31.506936,94.807659,2.09130851,NDUFC2-KCTD14///KCTD14,NDUFC2-KCTD14 readthrough///potassium channel tetramerization domain containing 14
7983910,3.19E-12,5.10E-13,-8.655197,18.47376,2.08217259,AQP9,aquaporin 9
8130499,9.80E-46,2.94E-48,-33.765796,99.825157,2.07355166,DYNLT1,dynein light chain Tctex-type 1
8028613,3.62E-24,1.64E-25,-15.501403,47.321352,2.0698217,IFNL1,interferon lambda 1
8072710,1.14E-51,1.65E-54,-41.042465,114.133637,2.06648669,APOL6,apolipoprotein L6
7933084,1.66E-40,9.55E-43,-28.313613,87.148776,2.06180338,NAMPT,nicotinamide phosphoribosyltransferase
7981290,4.36E-36,4.38E-38,-24.289812,76.394262,2.0609869,WARS,tryptophanyl-tRNA synthetase
8148476,5.37E-37,4.71E-39,-25.085696,78.629958,2.05430886,DENND3,DENN domain containing 3
8007446,1.68E-42,7.86E-45,-30.280626,91.949309,2.05220877,IFI35,interferon induced protein 35
8156688,2.55E-45,8.70E-48,-33.26757,98.744769,2.04301901,TDRD7,tudor domain containing 7
8104901,1.61E-21,1.00E-22,-13.862064,40.875549,2.03924892,IL7R,interleukin 7 receptor
8086330,2.37E-48,4.91E-51,-36.842946,106.194096,2.02923841,CSRNP1,cysteine and serine rich nuclear protein 1
8151223,1.65E-21,1.03E-22,-13.854703,40.845841,2.02845399,SLCO5A1,solute carrier organic anion transporter family member 5A1
7976443,2.23E-24,9.82E-26,-15.635463,47.833344,2.02521564,IFI27,interferon alpha inducible protein 27
7926239,2.17E-34,2.72E-36,-22.866949,72.251342,2.02314674,OPTN,optineurin
8113491,7.18E-27,2.34E-28,-17.272987,53.903563,2.01832866,STARD4,StAR related lipid transfer domain containing 4
7979721,5.45E-27,1.75E-28,-17.353111,54.191959,2.01800278,TMEM229B,transmembrane protein 229B
7938390,1.67E-30,3.57E-32,-19.832038,62.732487,2.01444034,ADM,adrenomedullin
8097903,1.23E-27,3.66E-29,-17.795001,55.768275,2.00587882,TLR2,toll like receptor 2
8079407,1.03E-33,1.42E-35,-22.315482,70.592935,2.00349322,CCRL2///CCRL2,C-C motif chemokine receptor like 2///C-C motif chemokine receptor like 2
8006531,3.87E-31,7.80E-33,-20.298362,64.259375,1.99940625,SLFN5,schlafen family member 5
7930577,1.45E-37,1.19E-39,-25.586879,80.009096,1.99933931,CASP7,caspase 7
8024485,7.03E-48,1.49E-50,-36.293135,105.092755,1.99772487,GADD45B,growth arrest and DNA damage inducible beta
8097957,7.01E-21,4.72E-22,-13.478065,39.3168,1.9914787,GUCY1A3,guanylate cyclase 1 soluble subunit alpha
7959267,1.27E-35,1.35E-37,-23.896381,75.267818,1.98529494,P2RX4,purinergic receptor P2X 4
7943218,4.17E-42,2.04E-44,-29.880961,90.996005,1.9832905,PANX1,pannexin 1
8096635,1.96E-38,1.45E-40,-26.369115,82.118794,1.97406376,NFKB1,nuclear factor kappa B subunit 1
7922474,6.17E-54,6.86E-57,-44.167877,119.556528,1.96637392,KIAA0040,KIAA0040
8086125,6.98E-37,6.19E-39,-24.987566,78.357361,1.96011418,TRANK1,tetratricopeptide repeat and ankyrin repeat containing 1
7909188,5.15E-36,5.21E-38,-24.228708,76.220251,1.95901225,IKBKE,"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon"
8047127,1.49E-23,7.23E-25,-15.113666,45.827633,1.95885638,MYO1B,myosin IB
7917875,4.88E-32,8.59E-34,-20.98877,66.475894,1.95631049,F3,"coagulation factor III, tissue factor"
7981427,1.84E-23,9.04E-25,-15.055962,45.603692,1.95395529,CKB,creatine kinase B
7995926,5.26E-57,2.93E-60,-48.969192,127.200045,1.94065413,NLRC5,NLR family CARD domain containing 5
8125512,2.21E-54,2.22E-57,-44.838911,120.672392,1.93591051,TAP1,"transporter 1, ATP binding cassette subfamily B member"
7926037,2.44E-18,2.13E-19,-12.007141,33.183007,1.93579661,PFKFB3,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3"
8155214,1.04E-31,1.95E-33,-20.730193,65.651831,1.93292404,MELK,maternal embryonic leucine zipper kinase
8061247,4.55E-20,3.30E-21,-13.002967,37.363314,1.93128579,RIN2,Ras and Rab interactor 2
8010967,2.71E-24,1.20E-25,-15.582494,47.631323,1.92612278,NXN,nucleoredoxin
8047381,7.87E-40,5.05E-42,-27.656661,85.482409,1.91744517,CFLAR,CASP8 and FADD like apoptosis regulator
7990632,3.69E-25,1.46E-26,-16.142008,49.747249,1.91709327,PEAK1,pseudopodium enriched atypical kinase 1
7900365,1.11E-19,8.40E-21,-12.777393,36.426358,1.90722235,MFSD2A///MFSD2A,major facilitator superfamily domain containing 2A///major facilitator superfamily domain containing 2A
8075720,2.66E-56,1.68E-59,-47.847688,125.482913,1.89928869,APOL2,apolipoprotein L2
7969626,1.03E-41,5.41E-44,-29.476897,90.020976,1.89791705,GPR180,G protein-coupled receptor 180
8045816,3.03E-44,1.20E-46,-32.086614,96.125,1.89572395,GPD2,glycerol-3-phosphate dehydrogenase 2
8152041,9.86E-36,1.03E-37,-23.991199,75.540607,1.88443787,RNF19A,"ring finger protein 19A, RBR E3 ubiquitin protein ligase"
8118137,5.78E-30,1.29E-31,-19.443132,61.440315,1.87089995,LTA,lymphotoxin alpha
8010426,2.81E-37,2.41E-39,-25.329646,79.303977,1.86631454,RNF213,ring finger protein 213
8038487,7.45E-42,3.78E-44,-29.62421,90.377774,1.86519896,IL4I1///NUP62,interleukin 4 induced 1///nucleoporin 62
8081853,1.90E-27,5.76E-29,-17.666178,55.311212,1.86232768,POGLUT1,protein O-glucosyltransferase 1
8092348,2.43E-20,1.72E-21,-13.161562,38.018444,1.86204823,LAMP3,lysosomal associated membrane protein 3
8090018,6.08E-42,3.02E-44,-29.717459,90.602838,1.86003351,PARP9,poly(ADP-ribose) polymerase family member 9
8044574,9.65E-28,2.83E-29,-17.867708,56.025346,1.85485234,IL1RN,interleukin 1 receptor antagonist
8116910,5.11E-32,9.06E-34,-20.971826,66.422118,1.85397581,HIVEP1,human immunodeficiency virus type I enhancer binding protein 1
